INSERT INTO session.attestation (grade, attestation_date, teacher_id, edu_plan_subject_id, student_in_group_id, attempt_count) VALUES (97, '2018-06-23', 5, 24, 32, 0);
INSERT INTO session.attestation (grade, attestation_date, teacher_id, edu_plan_subject_id, student_in_group_id, attempt_count) VALUES (90, '2020-06-25', 36, 12, 14, 2);
INSERT INTO session.attestation (grade, attestation_date, teacher_id, edu_plan_subject_id, student_in_group_id, attempt_count) VALUES (2, '2019-06-27', 8, 34, 40, 1);
INSERT INTO session.attestation (grade, attestation_date, teacher_id, edu_plan_subject_id, student_in_group_id, attempt_count) VALUES (38, '2019-06-29', 28, 23, 33, 3);
INSERT INTO session.attestation (grade, attestation_date, teacher_id, edu_plan_subject_id, student_in_group_id, attempt_count) VALUES (32, '2018-06-30', 36, 3, 55, 3);
INSERT INTO session.attestation (grade, attestation_date, teacher_id, edu_plan_subject_id, student_in_group_id, attempt_count) VALUES (22, '2018-06-22', 37, 2, 47, 2);
INSERT INTO session.attestation (grade, attestation_date, teacher_id, edu_plan_subject_id, student_in_group_id, attempt_count) VALUES (98, '2019-06-30', 9, 50, 18, 2);
INSERT INTO session.attestation (grade, attestation_date, teacher_id, edu_plan_subject_id, student_in_group_id, attempt_count) VALUES (100, '2018-06-16', 26, 32, 40, 0);
INSERT INTO session.attestation (grade, attestation_date, teacher_id, edu_plan_subject_id, student_in_group_id, attempt_count) VALUES (41, '2019-06-19', 8, 39, 50, 1);
INSERT INTO session.attestation (grade, attestation_date, teacher_id, edu_plan_subject_id, student_in_group_id, attempt_count) VALUES (61, '2020-06-16', 20, 25, 13, 1);
INSERT INTO session.attestation (grade, attestation_date, teacher_id, edu_plan_subject_id, student_in_group_id, attempt_count) VALUES (1, '2020-06-24', 35, 35, 37, 2);
INSERT INTO session.attestation (grade, attestation_date, teacher_id, edu_plan_subject_id, student_in_group_id, attempt_count) VALUES (100, '2020-06-16', 29, 19, 3, 0);
INSERT INTO session.attestation (grade, attestation_date, teacher_id, edu_plan_subject_id, student_in_group_id, attempt_count) VALUES (88, '2018-06-27', 21, 33, 51, 3);
INSERT INTO session.attestation (grade, attestation_date, teacher_id, edu_plan_subject_id, student_in_group_id, attempt_count) VALUES (78, '2019-06-27', 22, 20, 32, 0);
INSERT INTO session.attestation (grade, attestation_date, teacher_id, edu_plan_subject_id, student_in_group_id, attempt_count) VALUES (5, '2018-06-17', 34, 49, 52, 1);
INSERT INTO session.attestation (grade, attestation_date, teacher_id, edu_plan_subject_id, student_in_group_id, attempt_count) VALUES (100, '2018-06-23', 7, 37, 6, 1);
INSERT INTO session.attestation (grade, attestation_date, teacher_id, edu_plan_subject_id, student_in_group_id, attempt_count) VALUES (21, '2018-06-18', 25, 13, 6, 0);
INSERT INTO session.attestation (grade, attestation_date, teacher_id, edu_plan_subject_id, student_in_group_id, attempt_count) VALUES (102, '2020-06-23', 37, 41, 1, 1);
INSERT INTO session.attestation (grade, attestation_date, teacher_id, edu_plan_subject_id, student_in_group_id, attempt_count) VALUES (33, '2018-06-21', 27, 19, 51, 2);
INSERT INTO session.attestation (grade, attestation_date, teacher_id, edu_plan_subject_id, student_in_group_id, attempt_count) VALUES (94, '2018-06-25', 19, 46, 58, 0);
INSERT INTO session.attestation (grade, attestation_date, teacher_id, edu_plan_subject_id, student_in_group_id, attempt_count) VALUES (65, '2020-06-28', 22, 36, 30, 0);
INSERT INTO session.attestation (grade, attestation_date, teacher_id, edu_plan_subject_id, student_in_group_id, attempt_count) VALUES (38, '2018-06-17', 29, 49, 52, 1);
INSERT INTO session.attestation (grade, attestation_date, teacher_id, edu_plan_subject_id, student_in_group_id, attempt_count) VALUES (78, '2018-06-18', 24, 48, 20, 1);
INSERT INTO session.attestation (grade, attestation_date, teacher_id, edu_plan_subject_id, student_in_group_id, attempt_count) VALUES (96, '2018-06-21', 27, 35, 42, 3);
INSERT INTO session.attestation (grade, attestation_date, teacher_id, edu_plan_subject_id, student_in_group_id, attempt_count) VALUES (61, '2020-06-24', 2, 8, 28, 2);
INSERT INTO session.attestation (grade, attestation_date, teacher_id, edu_plan_subject_id, student_in_group_id, attempt_count) VALUES (21, '2019-06-18', 29, 44, 16, 3);
INSERT INTO session.attestation (grade, attestation_date, teacher_id, edu_plan_subject_id, student_in_group_id, attempt_count) VALUES (88, '2020-06-23', 25, 15, 34, 0);
INSERT INTO session.attestation (grade, attestation_date, teacher_id, edu_plan_subject_id, student_in_group_id, attempt_count) VALUES (102, '2019-06-28', 13, 5, 3, 1);
INSERT INTO session.attestation (grade, attestation_date, teacher_id, edu_plan_subject_id, student_in_group_id, attempt_count) VALUES (32, '2020-06-16', 3, 34, 19, 2);
INSERT INTO session.attestation (grade, attestation_date, teacher_id, edu_plan_subject_id, student_in_group_id, attempt_count) VALUES (62, '2020-06-21', 27, 5, 47, 2);
INSERT INTO session.attestation (grade, attestation_date, teacher_id, edu_plan_subject_id, student_in_group_id, attempt_count) VALUES (79, '2020-06-20', 7, 33, 5, 1);
INSERT INTO session.attestation (grade, attestation_date, teacher_id, edu_plan_subject_id, student_in_group_id, attempt_count) VALUES (16, '2019-06-21', 16, 39, 37, 2);
INSERT INTO session.attestation (grade, attestation_date, teacher_id, edu_plan_subject_id, student_in_group_id, attempt_count) VALUES (38, '2020-06-21', 24, 20, 42, 2);
INSERT INTO session.attestation (grade, attestation_date, teacher_id, edu_plan_subject_id, student_in_group_id, attempt_count) VALUES (49, '2020-06-18', 31, 48, 57, 0);
INSERT INTO session.attestation (grade, attestation_date, teacher_id, edu_plan_subject_id, student_in_group_id, attempt_count) VALUES (77, '2020-06-30', 36, 25, 55, 0);
INSERT INTO session.attestation (grade, attestation_date, teacher_id, edu_plan_subject_id, student_in_group_id, attempt_count) VALUES (39, '2018-06-25', 23, 42, 53, 1);
INSERT INTO session.attestation (grade, attestation_date, teacher_id, edu_plan_subject_id, student_in_group_id, attempt_count) VALUES (67, '2019-06-18', 3, 2, 49, 3);
INSERT INTO session.attestation (grade, attestation_date, teacher_id, edu_plan_subject_id, student_in_group_id, attempt_count) VALUES (79, '2018-06-23', 10, 22, 11, 1);
INSERT INTO session.attestation (grade, attestation_date, teacher_id, edu_plan_subject_id, student_in_group_id, attempt_count) VALUES (9, '2020-06-24', 34, 21, 17, 1);
INSERT INTO session.attestation (grade, attestation_date, teacher_id, edu_plan_subject_id, student_in_group_id, attempt_count) VALUES (56, '2020-06-25', 19, 6, 46, 3);
INSERT INTO session.attestation (grade, attestation_date, teacher_id, edu_plan_subject_id, student_in_group_id, attempt_count) VALUES (61, '2019-06-27', 10, 16, 55, 1);
INSERT INTO session.attestation (grade, attestation_date, teacher_id, edu_plan_subject_id, student_in_group_id, attempt_count) VALUES (21, '2020-06-18', 2, 12, 50, 0);
INSERT INTO session.attestation (grade, attestation_date, teacher_id, edu_plan_subject_id, student_in_group_id, attempt_count) VALUES (60, '2019-06-29', 23, 46, 23, 1);
INSERT INTO session.attestation (grade, attestation_date, teacher_id, edu_plan_subject_id, student_in_group_id, attempt_count) VALUES (36, '2019-06-30', 32, 42, 33, 2);
INSERT INTO session.attestation (grade, attestation_date, teacher_id, edu_plan_subject_id, student_in_group_id, attempt_count) VALUES (58, '2019-06-29', 12, 48, 51, 1);
INSERT INTO session.attestation (grade, attestation_date, teacher_id, edu_plan_subject_id, student_in_group_id, attempt_count) VALUES (30, '2019-06-22', 17, 24, 6, 3);
