INSERT INTO session.classroom (capacity, room, building_id, classroom_type) VALUES (87, 4479, 1, 'Другое');
INSERT INTO session.classroom (capacity, room, building_id, classroom_type) VALUES (20, 6136, 4, 'Другое');
INSERT INTO session.classroom (capacity, room, building_id, classroom_type) VALUES (7, 4366, 4, 'Практическая');
INSERT INTO session.classroom (capacity, room, building_id, classroom_type) VALUES (11, 2257, 1, 'Лаборатория');
INSERT INTO session.classroom (capacity, room, building_id, classroom_type) VALUES (94, 1371, 2, 'Практическая');
INSERT INTO session.classroom (capacity, room, building_id, classroom_type) VALUES (52, 2216, 5, 'Практическая');
INSERT INTO session.classroom (capacity, room, building_id, classroom_type) VALUES (59, 5148, 1, 'Лекционная');
INSERT INTO session.classroom (capacity, room, building_id, classroom_type) VALUES (15, 1175, 6, 'Другое');
INSERT INTO session.classroom (capacity, room, building_id, classroom_type) VALUES (92, 5349, 2, 'Лаборатория');
INSERT INTO session.classroom (capacity, room, building_id, classroom_type) VALUES (31, 4186, 4, 'Лаборатория');
INSERT INTO session.classroom (capacity, room, building_id, classroom_type) VALUES (2, 1189, 2, 'Практическая');
INSERT INTO session.classroom (capacity, room, building_id, classroom_type) VALUES (73, 6414, 5, 'Лаборатория');
INSERT INTO session.classroom (capacity, room, building_id, classroom_type) VALUES (81, 1142, 6, 'Другое');
INSERT INTO session.classroom (capacity, room, building_id, classroom_type) VALUES (61, 4221, 1, 'Другое');
INSERT INTO session.classroom (capacity, room, building_id, classroom_type) VALUES (39, 3441, 1, 'Лекционная');
INSERT INTO session.classroom (capacity, room, building_id, classroom_type) VALUES (49, 6236, 4, 'Лекционная');
INSERT INTO session.classroom (capacity, room, building_id, classroom_type) VALUES (83, 1375, 1, 'Практическая');
INSERT INTO session.classroom (capacity, room, building_id, classroom_type) VALUES (31, 1297, 6, 'Практическая');
INSERT INTO session.classroom (capacity, room, building_id, classroom_type) VALUES (29, 5379, 4, 'Другое');
INSERT INTO session.classroom (capacity, room, building_id, classroom_type) VALUES (53, 3426, 4, 'Лаборатория');
INSERT INTO session.classroom (capacity, room, building_id, classroom_type) VALUES (98, 1223, 4, 'Другое');
INSERT INTO session.classroom (capacity, room, building_id, classroom_type) VALUES (91, 2281, 4, 'Лекционная');
INSERT INTO session.classroom (capacity, room, building_id, classroom_type) VALUES (68, 5136, 5, 'Практическая');
INSERT INTO session.classroom (capacity, room, building_id, classroom_type) VALUES (56, 5469, 2, 'Лаборатория');
INSERT INTO session.classroom (capacity, room, building_id, classroom_type) VALUES (32, 6330, 3, 'Лаборатория');
INSERT INTO session.classroom (capacity, room, building_id, classroom_type) VALUES (49, 4148, 6, 'Лаборатория');
INSERT INTO session.classroom (capacity, room, building_id, classroom_type) VALUES (82, 6193, 1, 'Другое');
INSERT INTO session.classroom (capacity, room, building_id, classroom_type) VALUES (37, 5191, 4, 'Другое');
INSERT INTO session.classroom (capacity, room, building_id, classroom_type) VALUES (89, 3186, 3, 'Практическая');
INSERT INTO session.classroom (capacity, room, building_id, classroom_type) VALUES (29, 6268, 2, 'Лаборатория');
INSERT INTO session.classroom (capacity, room, building_id, classroom_type) VALUES (18, 3313, 5, 'Практическая');
INSERT INTO session.classroom (capacity, room, building_id, classroom_type) VALUES (27, 5493, 5, 'Лаборатория');
INSERT INTO session.classroom (capacity, room, building_id, classroom_type) VALUES (57, 6393, 6, 'Лекционная');
INSERT INTO session.classroom (capacity, room, building_id, classroom_type) VALUES (66, 6438, 4, 'Практическая');
INSERT INTO session.classroom (capacity, room, building_id, classroom_type) VALUES (32, 6321, 3, 'Лаборатория');
INSERT INTO session.classroom (capacity, room, building_id, classroom_type) VALUES (99, 3475, 5, 'Лекционная');
INSERT INTO session.classroom (capacity, room, building_id, classroom_type) VALUES (17, 1158, 3, 'Лаборатория');
INSERT INTO session.classroom (capacity, room, building_id, classroom_type) VALUES (42, 2443, 4, 'Лекционная');
INSERT INTO session.classroom (capacity, room, building_id, classroom_type) VALUES (78, 1219, 2, 'Лекционная');
INSERT INTO session.classroom (capacity, room, building_id, classroom_type) VALUES (79, 3356, 2, 'Практическая');
INSERT INTO session.classroom (capacity, room, building_id, classroom_type) VALUES (31, 4139, 3, 'Лекционная');
INSERT INTO session.classroom (capacity, room, building_id, classroom_type) VALUES (32, 4479, 1, 'Практическая');
INSERT INTO session.classroom (capacity, room, building_id, classroom_type) VALUES (64, 1172, 4, 'Практическая');
INSERT INTO session.classroom (capacity, room, building_id, classroom_type) VALUES (20, 5372, 1, 'Другое');
INSERT INTO session.classroom (capacity, room, building_id, classroom_type) VALUES (99, 3469, 4, 'Лаборатория');
INSERT INTO session.classroom (capacity, room, building_id, classroom_type) VALUES (4, 1194, 1, 'Практическая');
INSERT INTO session.classroom (capacity, room, building_id, classroom_type) VALUES (8, 3148, 2, 'Лаборатория');
INSERT INTO session.classroom (capacity, room, building_id, classroom_type) VALUES (23, 4319, 4, 'Практическая');
INSERT INTO session.classroom (capacity, room, building_id, classroom_type) VALUES (81, 3216, 2, 'Другое');
INSERT INTO session.classroom (capacity, room, building_id, classroom_type) VALUES (87, 4114, 6, 'Практическая');
INSERT INTO session.classroom (capacity, room, building_id, classroom_type) VALUES (61, 1243, 2, 'Другое');
INSERT INTO session.classroom (capacity, room, building_id, classroom_type) VALUES (94, 6481, 2, 'Практическая');
INSERT INTO session.classroom (capacity, room, building_id, classroom_type) VALUES (13, 3134, 3, 'Практическая');
INSERT INTO session.classroom (capacity, room, building_id, classroom_type) VALUES (15, 4196, 4, 'Лаборатория');
